alg,timestamp,only_inference,val_size_pct,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,high_sampling_power,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,eiil_num_steps,eiil_lr,upsample_factor
eiil,2024-01-17 18:01:44.266388,False,15,0.0001,0.01,2,7,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,92.74244004171013,0.572829131652661,0.6514542079207921,0.5841584158415841,0.4606424041907913,0.1648745519713261,53.58255451713396,86.29014386238367,80.62084257206209,96.46208486512036,20000.0,0.01,
spare,2024-01-17 21:53:30.560000,False,15,1e-05,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.61687348136094,0.4705882352941176,0.5071233411397346,0.4404761904761904,0.4232837055417701,0.3978494623655914,54.517133956386296,95.03074450275784,75.85669781931465,97.6405240597554,,,
spare,2024-01-17 23:29:55.725685,False,5,1e-05,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.78832116788321,0.5504201680672269,0.5564705882352942,0.5529411764705883,0.5219189412737799,0.5053763440860215,48.38137472283814,91.18756753006252,74.76635514018692,98.07192754003088,,,
spare,2024-01-17 23:42:18.595018,False,15,1e-05,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.78832116788321,0.5168067226890757,0.499862258953168,0.4666666666666667,0.4106699751861042,0.358974358974359,66.04361370716511,95.521866330493,77.41433021806854,97.41329489126146,,,
spare,2024-01-17 23:47:46.317016,False,15,1e-05,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.78832116788321,0.5182072829131653,0.503954802259887,0.4745762711864407,0.4088778604907637,0.358974358974359,74.94456762749445,95.70162473488658,76.01246105919003,97.75387857342336,,,
spare,2024-01-17 23:49:17.643177,False,5,1e-05,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.78832116788321,0.5504201680672269,0.5564705882352942,0.5529411764705883,0.5219189412737799,0.5053763440860215,61.6822429906542,95.42623036839692,74.9221183800623,98.03432394315544,,,
spare,2024-01-17 23:49:36.101426,False,5,1e-05,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.78832116788321,0.5504201680672269,0.5564705882352942,0.5529411764705883,0.5219189412737799,0.5053763440860215,7.0509977827051,74.34770211217544,74.45482866043614,97.7527042330684,,,
spare,2024-01-17 23:59:00.518162,False,15,1e-05,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.78832116788321,0.5224089635854342,0.5034946236559139,0.4666666666666667,0.4196305486628067,0.358974358974359,59.645232815964526,93.3147198226239,77.25856697819314,97.79199051331211,,,
eiil,2024-01-18 00:41:19.245949,False,5,0.0001,1.0,2,2,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,91.8873826903024,0.3235294117647059,0.8125,0.625,0.5345326716294458,0.1075268817204301,21.773835920177383,83.39808136382288,76.6355140186916,96.69121192147918,20000.0,0.01,
eiil,2024-01-18 00:33:30.268786,False,15,0.0001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,86.04796663190824,0.4971988795518207,0.536936936936937,0.5333333333333333,0.4460987041632203,0.07168458781362,6.96230598669623,82.11167394791539,66.29711751662971,96.58917875758608,20000.0,0.01,
